pmid,type,source,full_text_path,in_included_set
10417247,unavailable,pubget,,True
10940680,unavailable,pubget,,True
15084791,unavailable,pubget,,True
15536300,unavailable,pubget,,True
16237363,unavailable,pubget,,True
16534207,unavailable,pubget,,True
17381257,unavailable,pubget,,True
17479980,unavailable,pubget,,True
18166607,unavailable,pubget,,True
19236162,unavailable,pubget,,True
20938177,unavailable,pubget,,True
22009019,unavailable,pubget,,True
22986775,unavailable,pubget,,True
23455991,unavailable,pubget,,True
25199154,unavailable,pubget,,True
25322925,unavailable,pubget,,True
25511791,unavailable,pubget,,True
26473985,unavailable,pubget,,True
26653846,unavailable,pubget,,True
26738361,unavailable,pubget,,True
26859768,unavailable,pubget,,True
26944874,unavailable,pubget,,True
27104906,unavailable,pubget,,True
27567867,unavailable,pubget,,True
29614645,unavailable,pubget,,True
31064266,unavailable,pubget,,True
31273672,unavailable,pubget,,True
32198310,unavailable,pubget,,True
32989107,unavailable,pubget,,True
33333361,unavailable,pubget,,True
34266598,unavailable,pubget,,True
35189395,unavailable,pubget,,True
36163388,unavailable,pubget,,True
39079070,unavailable,pubget,,True
41127961,unavailable,pubget,,True
41614679,unavailable,pubget,,True
