pmid,analysis_index,analysis_id,analysis_name,analysis_description,table_id,coordinate_count,coordinate_spaces,coordinates_json,invalid_point_count,dementia_all__include,dementia_all__confidence,dementia_all__reasoning,dementia_all__inclusion_criteria_applied,dementia_all__exclusion_criteria_applied,dementia_decreasing_activity__include,dementia_decreasing_activity__confidence,dementia_decreasing_activity__reasoning,dementia_decreasing_activity__inclusion_criteria_applied,dementia_decreasing_activity__exclusion_criteria_applied,structural__include,structural__confidence,structural__reasoning,structural__inclusion_criteria_applied,structural__exclusion_criteria_applied,functional__include,functional__confidence,functional__reasoning,functional__inclusion_criteria_applied,functional__exclusion_criteria_applied
14527604,0,14527604_analysis_0,"Conjunction (c1, c2, c3)",,TABLE2,8,MNI,"[[0.0, 56.0, 0.0], [-2.0, 36.0, 20.0], [0.0, 18.0, -16.0], [-14.0, 60.0, 22.0], [-22.0, 24.0, 46.0], [-46.0, 18.0, 30.0], [-64.0, -20.0, -22.0], [-10.0, 10.0, 2.0]]",0,True,,"Analysis is a whole-brain voxelwise FDG-PET conjunction comparing clinically diagnosed FTD patients to age-matched controls, satisfying global criteria and the local imaging modality requirement.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_ALL_I1""]",[],True,,"Conjunction analysis of FDG-PET reports consistent decreases in metabolism (Control > FTD / FTD < Control) across subjects, meeting global criteria and local modality and decrease-reporting requirements.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_DECREASING_ACTIVITY_I1"", ""DEMENTIA_DECREASING_ACTIVITY_I2""]",[],False,,"Analysis uses FDG-PET (functional metabolic imaging), not VBM; missing required structural inclusion criterion STRUCTURAL_I1.",[],[],True,,FDG-PET whole-brain voxelwise analysis comparing FTD to controls meets global criteria and the functional imaging modality requirement.,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""FUNCTIONAL_I1""]",[]
14527604,1,14527604_analysis_1,Interaction (c1 versus c2 and c3),,TABLE2,1,MNI,"[[-6.0, 28.0, -12.0]]",0,True,,"Interaction is based on whole-brain voxelwise FDG-PET contrasts comparing clinically diagnosed FTD groups to controls across centers, satisfying global criteria and the local imaging modality requirement.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_ALL_I1""]",[],False,,"Global criteria are met, but this analysis is an interaction test between center-specific contrasts and does not itself report a direct Control > FTD decrease map; missing DEMENTIA_DECREASING_ACTIVITY_I1 and DEMENTIA_DECREASING_ACTIVITY_I2 for this specific analysis.",[],[],False,,"Analysis uses FDG-PET (functional metabolic imaging), not VBM; missing required structural inclusion criterion STRUCTURAL_I1.",[],[],True,,"Interaction analysis derives from whole-brain FDG-PET comparisons (functional modality) between FTD and controls across centers, meeting global criteria and FUNCTIONAL_I1.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""FUNCTIONAL_I1""]",[]
14527604,2,14527604_analysis_2,Interaction (c2 versus c1 and c3),,TABLE2,0,,[],0,True,,"Interaction is based on whole-brain voxelwise FDG-PET contrasts comparing clinically diagnosed FTD groups to controls across centers, satisfying global criteria and the local imaging modality requirement.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_ALL_I1""]",[],False,,"Global criteria are met, but this analysis is an interaction test between center-specific contrasts and does not itself report a direct Control > FTD decrease map; missing DEMENTIA_DECREASING_ACTIVITY_I1 and DEMENTIA_DECREASING_ACTIVITY_I2 for this specific analysis.",[],[],False,,"Analysis uses FDG-PET (functional metabolic imaging), not VBM; missing required structural inclusion criterion STRUCTURAL_I1.",[],[],True,,"Interaction analysis derives from whole-brain FDG-PET comparisons (functional modality) between FTD and controls across centers, meeting global criteria and FUNCTIONAL_I1.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""FUNCTIONAL_I1""]",[]
14527604,3,14527604_analysis_3,Interaction (c3 versus c1 and c2),,TABLE2,1,MNI,"[[58.0, 8.0, -12.0]]",0,True,,"Interaction is based on whole-brain voxelwise FDG-PET contrasts comparing clinically diagnosed FTD groups to controls across centers, satisfying global criteria and the local imaging modality requirement.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_ALL_I1""]",[],False,,"Global criteria are met, but this analysis is an interaction test between center-specific contrasts and does not itself report a direct Control > FTD decrease map; missing DEMENTIA_DECREASING_ACTIVITY_I1 and DEMENTIA_DECREASING_ACTIVITY_I2 for this specific analysis.",[],[],False,,"Analysis uses FDG-PET (functional metabolic imaging), not VBM; missing required structural inclusion criterion STRUCTURAL_I1.",[],[],True,,"Interaction analysis derives from whole-brain FDG-PET comparisons (functional modality) between FTD and controls across centers, meeting global criteria and FUNCTIONAL_I1.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""FUNCTIONAL_I1""]",[]
15585344,0,15585344_analysis_0,Atrophic regions in frontotemporal dementia,,TBL2,19,None,"[[-2.0, 44.0, -10.0], [0.0, 26.0, -10.0], [-38.0, 30.0, 2.0], [-32.0, 22.0, 10.0], [4.0, 6.0, -6.0], [-52.0, 8.0, 18.0], [18.0, -10.0, -14.0], [-62.0, -28.0, -24.0], [8.0, 18.0, -18.0], [-4.0, 50.0, 24.0], [-18.0, -10.0, -14.0], [38.0, 22.0, 8.0], [14.0, 20.0, -2.0], [-4.0, 32.0, 18.0], [-8.0, 14.0, 38.0], [18.0, -6.0, -22.0], [10.0, 22.0, 36.0], [8.0, 34.0, 26.0], [-4.0, 46.0, 24.0]]",0,True,,Global criteria met (whole-brain VBM comparing clinically diagnosed FTD patients to healthy controls). Local criterion met: study uses Voxel-Based Morphometry.,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_ALL_I1""]",[],True,,"Global criteria met (whole-brain VBM, clinical FTD vs controls). Local criteria met: VBM modality and the analysis reports decreased gray matter (atrophy) in FTD (Control > FTD).","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_DECREASING_ACTIVITY_I1"", ""DEMENTIA_DECREASING_ACTIVITY_I2""]",[],True,,Global criteria met (whole-brain VBM comparing clinically diagnosed FTD to controls). Local criterion met: study uses VBM (structural morphometry).,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""STRUCTURAL_I1""]",[],False,,"Does not meet FUNCTIONAL_I1: study uses structural VBM (MRI morphometry), not fMRI or FDG-PET.",[],[]
15668960,0,15668960_analysis_0,vs controls (p < 0.001),Apathetic subjects,88,11,None,"[[-16.0, 64.0, -4.0], [-16.0, 64.0, -4.0], [16.0, 64.0, 0.0], [-2.0, 42.0, -24.0], [4.0, 40.0, -24.0], [-52.0, 16.0, 20.0], [-42.0, 12.0, 0.0], [58.0, 20.0, 24.0], [44.0, 6.0, 2.0], [-2.0, -16.0, 4.0], [12.0, -22.0, 6.0]]",0,True,,"Analysis is a whole-brain voxelwise FDG-PET comparison of clinically diagnosed fv-FTLD (apathetic subgroup) vs healthy controls, satisfying global requirements and local modality criterion (FDG-PET).","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_ALL_I1""]",[],True,,"Whole-brain voxelwise FDG-PET analysis reports decreases in metabolism for the bvFTD (apathetic) group relative to controls (hypometabolism), and uses FDG-PET.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_DECREASING_ACTIVITY_I1"", ""DEMENTIA_DECREASING_ACTIVITY_I2""]",[],False,,Excluded because the analysis does not use Voxel-Based Morphometry; missing STRUCTURAL_I1.,[],[],True,,"Analysis uses FDG-PET (functional modality) in a whole-brain voxelwise comparison of fv-FTLD apathetic patients vs controls, meeting global criteria and FUNCTIONAL_I1.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""FUNCTIONAL_I1""]",[]
15668960,1,15668960_analysis_1,vs disinhibited (p < 0.01),Apathetic subjects,88,8,None,"[[-42.0, 12.0, 26.0], [-46.0, 20.0, 18.0], [42.0, 34.0, 2.0], [38.0, 28.0, 24.0], [-24.0, -12.0, 68.0], [44.0, 6.0, 10.0], [0.0, 26.0, 58.0], [8.0, 40.0, 40.0]]",0,False,,Excluded because the analysis is a direct comparison between fv-FTLD subgroups (apathetic vs disinhibited) and does not compare the target group to healthy controls (missing GLOBAL_I3).,[],[],False,,Excluded because the analysis compares two patient subgroups (apathetic vs disinhibited) rather than comparing bvFTD to healthy controls (missing GLOBAL_I3).,[],[],False,,Excluded because the analysis does not compare a bvFTD group to healthy controls (missing GLOBAL_I3) and it does not use VBM (missing STRUCTURAL_I1).,[],[],False,,Excluded because the analysis is between fv-FTLD subgroups (apathetic vs disinhibited) and does not include a comparison to healthy controls (missing GLOBAL_I3).,[],[]
15668960,2,15668960_analysis_2,vs controls (p < 0.001),Disinhibited subjects,88,12,None,"[[-10.0, 12.0, -24.0], [12.0, 24.0, -28.0], [-8.0, 38.0, 18.0], [8.0, 34.0, 20.0], [-46.0, 6.0, 0.0], [-4.0, -18.0, 8.0], [10.0, -20.0, 6.0], [-48.0, -18.0, -36.0], [48.0, -16.0, -36.0], [-24.0, -12.0, -30.0], [20.0, -8.0, -30.0], [46.0, 8.0, -2.0]]",0,True,,Whole-brain voxelwise FDG-PET comparison of fv-FTLD (disinhibited subgroup) vs healthy controls meets global criteria and DEMENTIA_ALL_I1 (FDG-PET modality).,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_ALL_I1""]",[],True,,Analysis reports decreases in metabolism (hypometabolism) for the bvFTD disinhibited group relative to controls and uses FDG-PET.,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_DECREASING_ACTIVITY_I1"", ""DEMENTIA_DECREASING_ACTIVITY_I2""]",[],False,,Excluded because the analysis does not use Voxel-Based Morphometry; missing STRUCTURAL_I1.,[],[],True,,FDG-PET whole-brain voxelwise analysis of fv-FTLD disinhibited patients vs controls meets global criteria and FUNCTIONAL_I1.,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""FUNCTIONAL_I1""]",[]
15668960,3,15668960_analysis_3,vs apathetic (p < 0.01),Disinhibited subjects,88,7,None,"[[-18.0, 12.0, -20.0], [11.0, 12.0, -18.0], [36.0, -12.0, -18.0], [-22.0, -28.0, -28.0], [50.0, -30.0, -28.0], [-12.0, 26.0, 26.0], [14.0, 32.0, 22.0]]",0,False,,Excluded because this analysis directly compares two patient subgroups (disinhibited vs apathetic) and does not compare a bvFTD group to healthy controls (missing GLOBAL_I3).,[],[],False,,Excluded because the analysis is between patient subgroups (disinhibited vs apathetic) rather than bvFTD vs healthy controls (missing GLOBAL_I3).,[],[],False,,Excluded because the analysis does not compare a bvFTD group to healthy controls (missing GLOBAL_I3) and does not use VBM (missing STRUCTURAL_I1).,[],[],False,,Excluded because this is a patient subgroup (disinhibited vs apathetic) comparison and lacks a bvFTD vs healthy control contrast (missing GLOBAL_I3).,[],[]
18268196,0,18268196_analysis_0,"Regions of Gray Matter Loss in Very Mild, Mild, and Moderate to Severe bvFTD",,77,105,None,"[[2.0, 36.0, 14.0], [4.0, 38.0, 20.0], [2.0, 28.0, 18.0], [-2.0, 36.0, 12.0], [-2.0, 38.0, 16.0], [-2.0, 32.0, 16.0], [2.0, 44.0, 20.0], [2.0, 44.0, 30.0], [2.0, 44.0, 28.0], [-2.0, 48.0, 22.0], [-2.0, 46.0, 28.0], [-2.0, 46.0, 24.0], [2.0, 53.0, -4.0], [-2.0, 58.0, 2.0], [1.0, 53.0, -3.0], [-2.0, 54.0, -4.0], [-2.0, 54.0, -2.0], [-2.0, 54.0, -4.0], [2.0, 8.0, -4.0], [4.0, 8.0, -8.0], [4.0, 8.0, -6.0], [-4.0, 12.0, -6.0], [-4.0, 8.0, -6.0], [-4.0, 10.0, -6.0], [42.0, 17.0, -10.0], [36.0, 18.0, -8.0], [42.0, 16.0, -12.0], [-39.0, 17.0, -13.0], [-38.0, 20.0, -10.0], [-39.0, 17.0, -13.0], [39.0, 23.0, 5.0], [35.0, 18.0, 5.0], [35.0, 16.0, 7.0], [-34.0, 24.0, 4.0], [-32.0, 22.0, 4.0], [-36.0, 24.0, 4.0], [33.0, 36.0, -13.0], [34.0, 36.0, -13.0], [42.0, 16.0, -12.0], [-29.0, 38.0, -13.0], [-29.0, 38.0, -14.0], [-30.0, 38.0, -15.0], [44.0, -10.0, -4.0], [-40.0, -12.0, -2.0], [28.0, 61.0, -15.0], [24.0, 61.0, -13.0], [33.0, 63.0, -6.0], [-31.0, 61.0, -2.0], [-29.0, 61.0, -2.0], [-27.0, 61.0, -3.0], [30.0, 52.0, 18.0], [38.0, 52.0, 6.0], [36.0, 44.0, 28.0], [-42.0, 52.0, 9.0], [-42.0, 53.0, 7.0], [-45.0, 53.0, 4.0], [38.0, 14.0, 33.0], [38.0, 15.0, 33.0], [38.0, 13.0, 34.0], [-44.0, 13.0, 28.0], [-44.0, 11.0, 27.0], [-43.0, 10.0, 25.0], [47.0, -6.0, 33.0], [47.0, -6.0, 34.0], [-53.0, -30.0, -8.0], [-54.0, -29.0, -4.0], [45.0, 36.0, 17.0], [45.0, 34.0, 20.0], [44.0, 34.0, 24.0], [-48.0, 36.0, 26.0], [-56.0, 28.0, 18.0], [26.0, 34.0, 40.0], [30.0, 26.0, 40.0], [-40.0, 25.0, 46.0], [-42.0, 28.0, 45.0], [0.0, 36.0, 38.0], [0.0, 36.0, 38.0], [-24.0, 19.0, 47.0], [-25.0, 21.0, 47.0], [48.0, -18.0, -4.0], [50.0, -18.0, -6.0], [-50.0, -51.0, 26.0], [48.0, -59.0, 44.0], [29.0, -13.0, -13.0], [30.0, -14.0, -10.0], [-30.0, -14.0, -10.0], [28.0, -14.0, -16.0], [27.0, -26.0, -10.0], [-28.0, -32.0, -6.0], [-7.0, 15.0, 6.0], [-8.0, 13.0, 9.0], [-10.0, 15.0, 7.0], [9.0, 13.0, 9.0], [9.0, 13.0, 9.0], [9.0, 12.0, 7.0], [30.0, 4.0, 8.0], [27.0, 6.0, 8.0], [29.0, 8.0, 10.0], [-22.0, 3.0, 6.0], [-22.0, 5.0, 4.0], [-22.0, 11.0, 4.0], [2.0, -8.0, 10.0], [2.0, -8.0, 8.0], [2.0, -8.0, 8.0], [48.0, -67.0, -48.0]]",0,True,,Global inclusion criteria met (whole-brain VBM comparison of clinically diagnosed bvFTD groups vs controls). Local inclusion DEMENTIA_ALL_I1 met because the analysis uses VBM.,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_ALL_I1""]",[],True,,Global criteria met and local inclusion criteria satisfied: the VBM analysis reports decreases in gray matter for bvFTD versus controls (Control > bvFTD) and uses VBM.,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""DEMENTIA_DECREASING_ACTIVITY_I1"", ""DEMENTIA_DECREASING_ACTIVITY_I2""]",[],True,,Global criteria met and local inclusion STRUCTURAL_I1 met because the study uses voxel-based morphometry (VBM).,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""GLOBAL_I3"", ""STRUCTURAL_I1""]",[],False,,Excluded because the analysis uses VBM (structural MRI) and does not use fMRI or FDG-PET; missing FUNCTIONAL_I1.,[],[]
