pmid,projects,tier,year,route,p_tables,already_tried,next_action
24275831,problem_solving,included,2015,other,0.747,nothing,manual: publisher html
24293562,problem_solving,included,2015,other,0.747,nothing,manual: publisher html
24323497,problem_solving,included,2015,other,0.747,nothing,manual: publisher html
24357646,cue_reactivity,included,2015,unknown,0.747,html-saved-no-tables,manual: re-save (current copy lacks tables)
24526181,cue_reactivity;decision_making;emotion_regulation_2022,included,2015,unknown,0.747,html-saved-no-tables,manual: re-save (current copy lacks tables)
24532700,problem_solving,included,2015,pmc,0.747,nothing,manual: pmc via browser
24696182,cue_reactivity,included,2015,other,0.747,nothing,manual: publisher html
24795442,cue_reactivity,included,2015,pmc,0.747,nothing,manual: pmc via browser
24807817,problem_solving,included,2015,other,0.747,nothing,manual: publisher html
24903627,cue_reactivity,included,2015,other,0.747,nothing,manual: publisher html
24947462,problem_solving,included,2015,pmc,0.747,nothing,manual: pmc via browser
25038426,problem_solving,included,2015,elsevier,0.747,elsevier-success;text-only,manual: publisher html
25193949,cue_reactivity,included,2015,pmc,0.747,nothing,manual: pmc via browser
25322925,dementia,included,2015,other,0.747,elsevier-skipped,manual: publisher html
25357006,emotion_regulation_2022,included,2015,other,0.747,nothing,manual: publisher html
25393839,problem_solving,included,2015,pmc,0.747,nothing,manual: pmc via browser
25432772,problem_solving,included,2016,other,0.747,nothing,manual: publisher html
25520437,dementia,included,2015,other,0.747,elsevier-skipped,manual: publisher html
25526598,problem_solving,included,2015,pmc,0.747,nothing,manual: pmc via browser
25529014,problem_solving,included,2015,other,0.747,nothing,manual: publisher html
25535307,problem_solving,included,2015,other,0.747,nothing,manual: publisher html
25552570,cue_reactivity,included,2015,pmc,0.747,nothing,manual: pmc via browser
25645425,cue_reactivity,included,2015,other,0.747,nothing,manual: publisher html
25666756,vbm_of_substance_use,included,2015,pmc,0.747,nothing,manual: pmc via browser
25670029,decision_making,included,2016,other,0.747,nothing,manual: publisher html
25753781,cue_reactivity,included,2016,other,0.747,nothing,manual: publisher html
25833968,cue_reactivity,included,2015,elsevier,0.747,elsevier-skipped,manual: publisher html
25846746,cue_reactivity,included,2015,pmc,0.747,nothing,manual: pmc via browser
