pmid,gold,a1,record_with_evidence,record_no_evidence,error_type,cause,note
16371250,n,included_fulltext,included_fulltext,included_fulltext,FP,undetermined,"Meets every stated criterion. Most plausibly excluded for overlapping samples, which no screener can apply."
19349151,n,included_fulltext,included_fulltext,included_fulltext,FP,criteria-gap,Pediatric (ages 7-14). Pankey excludes children/adolescents; config has no age criterion.
19794316,Y,included_fulltext,excluded_fulltext,excluded_fulltext,FN,benchmark,Paper reports no whole-brain analysis; record scope roi is correct. Gold includes an ROI study Pankey's criteria exclude. Text arm read 'whole-brain volume' (a covariate) as scope.
19996042,n,included_fulltext,excluded_fulltext,excluded_fulltext,FP,criteria-gap,"A1 only. FreeSurfer parcellation, not VBM; both record arms excluded it correctly."
20673548,n,included_fulltext,included_fulltext,included_fulltext,FP,criteria-gap,Results SVC-corrected within ROIs. Pankey excludes ROI papers outright; config only excludes ROI-only.
21118656,Y,excluded_fulltext,excluded_fulltext,included_fulltext,FN,evidence-effect,"VBM masked to ROIs by the paper's own words. The with-evidence arm quotes that sentence and excludes, matching the text arm's only miss; the no-evidence arm does not see it and includes, matching gold."
21418787,Y,included_fulltext,excluded_fulltext,excluded_fulltext,FN,interpretation,Paper declares follow-up individual-group comparisons in methods but reports only combined PTSD+MDD vs control (Table 1). Record enumerated the 5 reported analyses; text arm credited the declaration.
22453299,Y,included_fulltext,excluded_fulltext,fulltext_incomplete,FN,extraction,demands enumerated 1 analysis (fMRI localizer) from a 0-table render; the VBM group contrast stated in results prose never entered the record.
22948482,n,included_fulltext,included_fulltext,included_fulltext,FP,criteria-gap,Adolescent sample. Same gap.
23113800,n,included_fulltext,included_fulltext,included_fulltext,FP,undetermined,Meets every stated criterion. Most plausibly overlapping samples.
25212487,n,included_fulltext,included_fulltext,included_fulltext,FP,criteria-gap,Pediatric sample. Record scope whole_brain is correct (paper reports whole-brain-corrected findings outside its a priori regions).
28888350,n,included_fulltext,excluded_fulltext,excluded_fulltext,FP,criteria-gap,A1 only. Adolescent and ROI-only; both record arms excluded it correctly.
30127342,n,included_fulltext,included_fulltext,included_fulltext,FP,criteria-gap,"Contrast is four diagnoses combined vs controls, and the direction is a GM increase. Config requires neither PTSD-specificity nor direction."
30343133,n,included_fulltext,included_fulltext,included_fulltext,FP,criteria-gap,Pediatric and longitudinal. Pankey excludes both.
32938511,n,included_fulltext,included_fulltext,included_fulltext,FP,undetermined,Meets every stated criterion. Possibly outside the search or no usable foci.
