match_key,canonical_label,mentions,n_variants,variants
behavioral dementia frontotemporal variant,behavioral variant frontotemporal dementia,307,18,behavioral variant frontotemporal dementia | behavioural variant frontotemporal dementia | behavioral-variant frontotemporal dementia | behavioural-variant frontotemporal dementia | Behavioral variant frontotemporal dementia | behavioral variant of frontotemporal dementia | behavioral variant frontotemporal dementia (bvFTD) | Behavioral-variant frontotemporal dementia | bvFTD | Behavioural-variant frontotemporal dementia | behavioural variant of frontotemporal dementia | behavioural variant FTD | behavioural-variant FTD | behavioral variant Frontotemporal Dementia | behavioral-variant frontotemporal dementia (bvFTD) | Behavioural variant frontotemporal dementia | behavioural variant frontotemporal dementia (bvFTD) | behavioral variant of Frontotemporal Dementia (bvFTD)
alcohol dependence,alcohol dependence,195,3,alcohol dependence | Alcohol dependence | Alcohol Dependence
alzheimer disease,Alzheimer's disease,171,6,Alzheimer's disease | Alzheimer’s disease | Alzheimer disease | Alzheimer Disease (AD) | Alzheimer's disease (AD) | Alzheimer’s disease (AD)
dependence nicotine,nicotine dependence,164,2,nicotine dependence | Nicotine dependence
dementia frontotemporal,frontotemporal dementia,143,5,frontotemporal dementia | Frontotemporal dementia | frontotemporal dementia (FTD) | Frontotemporal Dementia | frontotemporal dementia (frontal variant FTD)
healthy,Healthy,109,6,Healthy | healthy | Healthy participants | healthy participants | Healthy subjects | healthy subjects
control healthy,Healthy controls,101,6,Healthy controls | Healthy control | healthy controls | healthy control | Healthy control subjects | Healthy control participants
cocaine dependence,cocaine dependence,72,3,cocaine dependence | Cocaine dependence | Cocaine Dependence
degeneration frontotemporal lobar,frontotemporal lobar degeneration,70,4,frontotemporal lobar degeneration | Frontotemporal lobar degeneration | frontotemporal lobar degenerations | frontotemporal lobar degeneration (FTLD)
dementia semantic,semantic dementia,69,4,semantic dementia | Semantic dementia | semantic dementia (SD) | Semantic Dementia
depressive disorder major,major depressive disorder,66,4,major depressive disorder | Major depressive disorder | Major Depressive Disorder | MDD
disorder posttraumatic stress,posttraumatic stress disorder,54,4,posttraumatic stress disorder | PTSD | Posttraumatic stress disorder | posttraumatic stress disorder (PTSD)
obesity,obesity,48,2,obesity | Obesity
aphasia primary progressive semantic variant,semantic variant primary progressive aphasia,47,5,semantic variant primary progressive aphasia | semantic-variant primary progressive aphasia | Semantic variant primary progressive aphasia | semantic variant of primary progressive aphasia | Semantic variant of primary progressive aphasia
none reported,none reported,43,1,none reported
alcohol disorder use,alcohol use disorder,38,5,alcohol use disorder | Alcohol use disorder | Alcohol Use Disorder | alcohol use disorders | alcohol-use disorder
anxiety disorder generalized,generalized anxiety disorder,37,6,generalized anxiety disorder | Generalized anxiety disorder | Generalized Anxiety Disorder | Generalized Anxiety Disorder (GAD) | generalized anxiety disorder (GAD) | Generalised anxiety disorder
dependence heroin,heroin dependence,36,2,heroin dependence | Heroin dependence
anxiety disorder social,social anxiety disorder,31,3,social anxiety disorder | Social anxiety disorder | Social Anxiety Disorder
amyotrophic lateral sclerosi,amyotrophic lateral sclerosis,30,2,amyotrophic lateral sclerosis | Amyotrophic lateral sclerosis
disorder panic,panic disorder,29,4,panic disorder | Panic Disorder | Panic disorder | panic disorder (PD)
borderline disorder personality,borderline personality disorder,28,3,borderline personality disorder | Borderline Personality Disorder | Borderline personality disorder
disorder post stress traumatic,post-traumatic stress disorder,27,4,post-traumatic stress disorder | Post-traumatic stress disorder | Post-Traumatic Stress Disorder | post-traumatic stress disorder (PTSD)
cognitive impairment mild,mild cognitive impairment,26,5,mild cognitive impairment | Mild cognitive impairment | Mild Cognitive Impairment | Mild Cognitive Impairment (MCI) | mild cognitive impairment (MCI)
schizophrenia,schizophrenia,25,2,schizophrenia | Schizophrenia
cognitively normal,Cognitively normal,24,2,Cognitively normal | cognitively normal
compulsive disorder obsessive,obsessive-compulsive disorder,24,7,obsessive-compulsive disorder | obsessive–compulsive disorder | Obsessive-compulsive disorder | OCD | Obsessive Compulsive Disorder | Obsessive compulsive disorder | obsessive compulsive disorder
alzheimer disease probable,probable Alzheimer's disease,22,7,probable Alzheimer's disease | probable Alzheimer’s disease | Probable Alzheimer's disease | Probable Alzheimer’s disease | Probable Alzheimer disease | probable Alzheimer disease | probable AD
cocaine disorder use,cocaine use disorder,21,6,cocaine use disorder | Cocaine use disorder | cocaine use disorders | cocaine-use disorders | cocaine-use disorder | Cocaine-use disorder
drinking heavy,heavy drinking,20,2,heavy drinking | Heavy drinking
aphasia nonfluent progressive,progressive nonfluent aphasia,20,2,progressive nonfluent aphasia | Progressive nonfluent aphasia
healthy volunteer,Healthy volunteers,19,2,Healthy volunteers | healthy volunteers
behavioral dementia frontotemporal probable variant,probable behavioral variant frontotemporal dementia,19,4,probable behavioral variant frontotemporal dementia | probable behavioural variant frontotemporal dementia | Probable behavioral variant frontotemporal dementia | Probable behavioral-variant frontotemporal dementia
bodie dementia lewy,dementia with Lewy bodies,19,3,dementia with Lewy bodies | Dementia with Lewy bodies | Dementia with Lewy bodies (DLB)
cannabi use,cannabis use,18,2,cannabis use | Cannabis use
bipolar disorder,bipolar disorder,18,2,bipolar disorder | Bipolar disorder
palsy progressive supranuclear,progressive supranuclear palsy,18,2,progressive supranuclear palsy | Progressive supranuclear palsy
phobia social,social phobia,18,2,social phobia | Social phobia
adult healthy,Healthy adults,17,2,Healthy adults | healthy adults
abuse alcohol dependence or,alcohol abuse or dependence,17,4,alcohol abuse or dependence | Alcohol dependence or alcohol abuse | alcohol dependence or abuse | Alcohol abuse or dependence
adult healthy older,Healthy older adults,17,2,Healthy older adults | healthy older adults
corticobasal syndrome,corticobasal syndrome,17,2,corticobasal syndrome | Corticobasal syndrome
phobia specific,specific phobia,17,1,specific phobia
cigarette smoking,cigarette smoking,16,2,cigarette smoking | Cigarette smoking
abuse alcohol,alcohol abuse,15,2,alcohol abuse | Alcohol abuse
depression major,major depression,14,2,major depression | Major depression
anxiety disorder generalized social,generalized social anxiety disorder,14,2,generalized social anxiety disorder | Generalized social anxiety disorder
current dependence nicotine,Current nicotine dependence,13,2,Current nicotine dependence | current nicotine dependence
cannabi dependence,cannabis dependence,13,2,cannabis dependence | Cannabis dependence
aphasia primary progressive,primary progressive aphasia,13,3,primary progressive aphasia | Primary progressive aphasia | primary progressive aphasia (PPA)
corticobasal degeneration,corticobasal degeneration,13,2,corticobasal degeneration | Corticobasal degeneration
dysthymia,dysthymia,13,2,dysthymia | Dysthymia
bipolar disorder i,bipolar disorder type I,13,6,bipolar disorder type I | Bipolar disorder type I | Bipolar I disorder | bipolar I disorder | Bipolar-I disorder | bipolar-I disorder
dependence methamphetamine,methamphetamine dependence,12,2,methamphetamine dependence | Methamphetamine dependence
cannabi disorder use,cannabis use disorder,12,2,cannabis use disorder | Cannabis use disorder
control healthy statu,Healthy control status,12,2,Healthy control status | healthy control status
smoking,smoking,11,1,smoking
attention deficit disorder hyperactivity,attention-deficit/hyperactivity disorder,11,5,attention-deficit/hyperactivity disorder | attention deficit/hyperactivity disorder | attention deficit/hyperactivity disorder (ADHD) | attention deficit hyperactivity disorder | Attention-deficit/hyperactivity disorder
dementia vascular,vascular dementia,11,1,vascular dementia
aphasia fluent non progressive,progressive non-fluent aphasia,11,3,progressive non-fluent aphasia | non-fluent progressive aphasia | Progressive non-fluent aphasia
aphasia nonfluent primary progressive variant,nonfluent variant primary progressive aphasia,11,1,nonfluent variant primary progressive aphasia
dependence opioid,opioid dependence,10,2,opioid dependence | Opioid dependence
anxiety disorder,anxiety disorders,10,2,anxiety disorders | anxiety disorder
aphasia fluent non primary progressive variant,non-fluent variant primary progressive aphasia,10,2,non-fluent variant primary progressive aphasia | non-fluent-variant primary progressive aphasia
dementia,dementia,10,1,dementia
depression,depression,10,2,depression | Depression
cannabi heavy use,heavy cannabis use,9,2,heavy cannabis use | Heavy cannabis use
disorder schizoaffective,schizoaffective disorder,9,1,schizoaffective disorder
cocaine current dependence,current cocaine dependence,9,2,current cocaine dependence | current Cocaine Dependence
healthy none reported,none reported; healthy participants,9,2,none reported; healthy participants | none reported; healthy subjects
disorder no psychiatric,No psychiatric disorder,9,4,No psychiatric disorder | no psychiatric disorder | No psychiatric disorders | no psychiatric disorders
alzheimer disease early onset,early-onset Alzheimer's disease,9,6,early-onset Alzheimer's disease | early onset Alzheimer's disease (EOAD) | Early-onset Alzheimer's disease | early-onset Alzheimer’s disease | early-onset Alzheimer disease | early onset Alzheimer's disease
exposure trauma,trauma exposure,9,2,trauma exposure | Trauma exposure
disease parkinson,Parkinson’s disease,8,2,Parkinson’s disease | Parkinson's disease
amphetamine dependence,amphetamine dependence,8,2,amphetamine dependence | Amphetamine dependence
anorexia nervosa,anorexia nervosa,8,2,anorexia nervosa | Anorexia nervosa
addiction nicotine,nicotine addiction,8,1,nicotine addiction
alcoholism chronic,chronic alcoholism,8,2,chronic alcoholism | Chronic alcoholism
alcoholism,alcoholism,8,2,alcoholism | Alcoholism
dementia frontotemporal right temporal variant,right temporal variant frontotemporal dementia,7,3,right temporal variant frontotemporal dementia | right temporal variant of frontotemporal dementia | right-temporal variant frontotemporal dementia
dependence opiate,opiate dependence,7,2,opiate dependence | Opiate dependence
disorder no posttraumatic stress,no PTSD,7,3,no PTSD | No PTSD diagnosis | No PTSD
binge drinking,binge drinking,6,2,binge drinking | Binge drinking
abuse cocaine,cocaine abuse,6,1,cocaine abuse
2 diabete mellitu,type 2 diabetes mellitus,6,1,type 2 diabetes mellitus
cigarette daily smoking,Daily cigarette smoking,6,2,Daily cigarette smoking | daily cigarette smoking
smoking tobacco,tobacco smoking,6,1,tobacco smoking
obesity or overweight,overweight or obesity,6,2,overweight or obesity | Overweight or obesity
regular smoking tobacco,Regular tobacco smoking,6,1,Regular tobacco smoking
disease motor neuron,motor neuron disease,6,1,motor neuron disease
