id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20
23599165-23599165_analysis_0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23722983-23722983_analysis_0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24414614-24414614_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24414614-24414614_analysis_4	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24414614-24414614_analysis_6	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_4	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_5	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24814646-24814646_analysis_0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24814646-24814646_analysis_1	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
24814646-24814646_analysis_2	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0
24814646-24814646_analysis_3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24814646-24814646_analysis_4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24814646-24814646_analysis_5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24814646-24814646_analysis_6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
24814646-24814646_analysis_7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24814646-24814646_analysis_8	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
24814646-24814646_analysis_9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24825504-24825504_analysis_0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24825504-24825504_analysis_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24825504-24825504_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25640962-25640962_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25640962-25640962_analysis_2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
25640962-25640962_analysis_3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25640962-25640962_analysis_4	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25929599-25929599_analysis_0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25929599-25929599_analysis_1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
25929599-25929599_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25929599-25929599_analysis_3	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
25929599-25929599_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26254589-26254589_analysis_0	2	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26254589-26254589_analysis_2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26254589-26254589_analysis_4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26365506-26365506_analysis_0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
26812250-26812250_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_analysis_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
26812250-26812250_analysis_5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
26812250-26812250_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_analysis_7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_analysis_8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_analysis_9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26892859-26892859_analysis_0	1	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
26892859-26892859_analysis_1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26892859-26892859_analysis_2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27039141-27039141_analysis_2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27039141-27039141_analysis_3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27090501-27090501_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_analysis_0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_analysis_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_analysis_2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27477020-27477020_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_analysis_2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_analysis_4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_4	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_analysis_1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
30077577-30077577_analysis_0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_analysis_0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
30349467-30349467_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_analysis_2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
30349467-30349467_analysis_3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_analysis_6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30949039-30949039_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30949039-30949039_analysis_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30949039-30949039_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30949039-30949039_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30949039-30949039_analysis_4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
