id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
14568477-14568477_analysis_0	0	0	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_2	0	0	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_3	0	0	0	0	0	0	0	0	0	0	0
15528097-15528097_analysis_0	0	0	0	0	0	0	0	1	0	0	0
15808992-15808992_analysis_0	0	0	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_2	0	0	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_4	0	0	0	0	0	0	0	0	0	0	0
16171833-16171833_analysis_2	0	0	0	0	0	0	0	1	0	0	0
16406606-16406606_analysis_0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_1	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_3	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_0	0	0	1	0	1	0	1	0	1	0	0
19107754-19107754_analysis_2	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_3	0	0	0	1	0	0	0	0	0	0	0
19107754-19107754_analysis_5	1	0	0	0	0	0	0	0	0	0	0
20045478-20045478_analysis_0	0	1	1	0	0	0	0	0	0	0	0
20045478-20045478_analysis_2	0	0	0	0	0	0	0	0	0	0	0
21600991-21600991_analysis_1	1	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_5	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_3	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_7	0	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_0	1	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_4	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_3	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_4	0	1	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_5	0	0	0	1	0	0	1	0	0	0	0
24772075-24772075_analysis_6	0	0	0	0	0	0	0	0	0	0	0
24825504-24825504_analysis_2	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_0	0	0	1	0	0	0	1	0	0	0	0
26235682-26235682_analysis_1	0	1	1	1	0	0	1	0	0	0	0
26235682-26235682_analysis_2	0	0	1	0	0	0	1	0	0	0	0
26235682-26235682_analysis_3	0	0	0	0	0	0	0	0	0	0	0
26365506-26365506_analysis_0	1	0	0	0	0	0	0	0	0	0	0
27039141-27039141_analysis_2	0	1	0	0	0	0	0	0	0	0	0
27095057-27095057_analysis_1	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_analysis_3	0	0	0	0	0	0	0	0	0	0	0
27477020-27477020_analysis_0	1	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_0	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_4	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_0	0	1	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_3	1	0	0	0	1	0	0	0	0	0	0
29324862-29324862_analysis_1	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_analysis_5	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_0	1	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_2	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_1	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_2	0	0	0	0	0	0	1	0	0	0	0
29777673-29777673_analysis_4	0	0	0	0	0	0	0	0	0	0	0
30077577-30077577_analysis_0	0	0	0	0	0	0	0	0	0	0	0
