pmid,publisher,journal,year,doi,doi_url,pubmed_url,title,is_oa,oa_pdf,oa_landing
10417245,10.1006,NeuroImage,1999,10.1006/nimg.1999.0458,https://doi.org/10.1006/nimg.1999.0458,https://pubmed.ncbi.nlm.nih.gov/10417245/,Detecting structural changes in whole brain based on nonlinear deformations-application to schizophrenia resea,no,,
11304078,10.1006,NeuroImage,2001,10.1006/nimg.2001.0751,https://doi.org/10.1006/nimg.2001.0751,https://pubmed.ncbi.nlm.nih.gov/11304078/,Gray matter-changes and correlates of disease severity in schizophrenia: a statistical parametric mapping stud,no,,
12498745,10.1006,NeuroImage,2002,10.1006/nimg.2002.1296,https://doi.org/10.1006/nimg.2002.1296,https://pubmed.ncbi.nlm.nih.gov/12498745/,Voxel-based morphometric analysis of gray matter in first episode schizophrenia.,yes,,https://www.ncbi.nlm.nih.gov/pmc/articles/2845166
30907608,10.1037,Neuropsychology,2019,10.1037/neu0000540,https://doi.org/10.1037/neu0000540,https://pubmed.ncbi.nlm.nih.gov/30907608/,Verbal memory and voxel based morphometry in first episode non-affective psychosis: A process oriented approac,no,,
38645197,10.1101,bioRxiv : the preprint server for biology,2024,10.1101/2024.04.10.588901,https://doi.org/10.1101/2024.04.10.588901,https://pubmed.ncbi.nlm.nih.gov/38645197/,Macro- and Micro-Structural Alterations in the Midbrain in Early Psychosis.,yes,https://www.biorxiv.org/content/biorxiv/early/2024/04/14/2024.04.10.588901.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2024/04/14/2024.04.10.588901.full.pdf
33018334,10.1109,Annual International Conference of the IEEE En,2020,10.1109/EMBC44109.2020.9176610,https://doi.org/10.1109/EMBC44109.2020.9176610,https://pubmed.ncbi.nlm.nih.gov/33018334/,Brain MRI-based 3D Convolutional Neural Networks for Classification of Schizophrenia and Controls.,no,,
30149746,10.1142,International journal of neural systems,2019,10.1142/S0129065718500326,https://doi.org/10.1142/S0129065718500326,https://pubmed.ncbi.nlm.nih.gov/30149746/,Aberrant Prefrontal-Thalamic-Cerebellar Circuit in Schizophrenia and Depression: Evidence From a Possible Caus,no,,
17641373,10.1148,Radiology,2007,10.1148/radiol.2442060727,https://doi.org/10.1148/radiol.2442060727,https://pubmed.ncbi.nlm.nih.gov/17641373/,Chronic auditory hallucinations in schizophrenic patients: MR analysis of the coincidence between functional a,no,,
30883275,10.1162,Neural computation,2019,10.1162/neco_a_01180,https://doi.org/10.1162/neco_a_01180,https://pubmed.ncbi.nlm.nih.gov/30883275/,Brain Morphometry Methods for Feature Extraction in Random Subspace Ensemble Neural Network Classification of ,yes,https://www.mitpressjournals.org/doi/pdf/10.1162/neco_a_01180,https://www.mitpressjournals.org/doi/pdf/10.1162/neco_a_01180
28410561,10.1177,The Australian and New Zealand journal of psyc,2017,10.1177/0004867417702748,https://doi.org/10.1177/0004867417702748,https://pubmed.ncbi.nlm.nih.gov/28410561/,Sexual dimorphism of the planum temporale in schizophrenia: A MRI study.,no,,
20184807,10.1503,Journal of psychiatry & neuroscience : JPN,2010,10.1503/jpn.090049,https://doi.org/10.1503/jpn.090049,https://pubmed.ncbi.nlm.nih.gov/20184807/,Hippocampal and caudate volume reductions in antipsychotic-naive first-episode schizophrenia.,yes,https://www.jpn.ca/content/jpn/35/2/95.full.pdf,https://www.jpn.ca/content/jpn/35/2/95.full.pdf
22687247,10.1503,Journal of psychiatry & neuroscience : JPN,2013,10.1503/jpn.110129,https://doi.org/10.1503/jpn.110129,https://pubmed.ncbi.nlm.nih.gov/22687247/,Structural brain correlates of sensorimotor gating in antipsychotic-naive men with first-episode schizophrenia,no,,
22748698,10.1503,Journal of psychiatry & neuroscience : JPN,2012,10.1503/jpn.110057,https://doi.org/10.1503/jpn.110057,https://pubmed.ncbi.nlm.nih.gov/22748698/,Magnetic resonance imaging correlates of first-episode psychosis in young adult male patients: combined analys,yes,http://jpn.ca/wp-content/uploads/2014/04/37-5-305.pdf,http://jpn.ca/wp-content/uploads/2014/04/37-5-305.pdf
24016415,10.1503,Journal of psychiatry & neuroscience : JPN,2014,10.1503/jpn.120242,https://doi.org/10.1503/jpn.120242,https://pubmed.ncbi.nlm.nih.gov/24016415/,Association of a risk allele of ANK3 with cognitive performance and cortical thickness in patients with first-,yes,http://jpn.ca/wp-content/uploads/2014/04/39-1-31.pdf,http://jpn.ca/wp-content/uploads/2014/04/39-1-31.pdf
25338016,10.1503,Journal of psychiatry & neuroscience : JPN,2015,10.1503/jpn.140082,https://doi.org/10.1503/jpn.140082,https://pubmed.ncbi.nlm.nih.gov/25338016/,Does neuroanatomy account for superior temporal dysfunction in early psychosis? A multimodal MRI investigation,yes,http://jpn.ca/wp-content/uploads/2015/02/40-2-100.pdf,http://jpn.ca/wp-content/uploads/2015/02/40-2-100.pdf
36715578,10.1708,Rivista di psichiatria,2023,10.1708/3964.39426,https://doi.org/10.1708/3964.39426,https://pubmed.ncbi.nlm.nih.gov/36715578/,Similar grey matter abnormalities in 22q11.2DS and chronic schizophrenia: a voxel-based morphometry study.,yes,https://www.rivistadipsichiatria.it/r.php?&v=3964&a=39426&l=350616&f=allegati/03964_2023_01/fulltext/02-Frascarelli (10-20).pdf,https://www.rivistadipsichiatria.it/r.php?&v=3964&a=39426&l=350616&f=allegati/03964_2023_01/fulltext/02-Frascarelli (10-20).pdf
32008554,10.2174,Current medical imaging reviews,2019,10.2174/1573405613666171122163759,https://doi.org/10.2174/1573405613666171122163759,https://pubmed.ncbi.nlm.nih.gov/32008554/,Brain Structural Magnetic Resonance Imaging for Joint Independent Component Analysis in Schizophrenic Patients,no,,
14608858,10.2298,Srpski arhiv za celokupno lekarstvo,2003,10.2298/sarh0302026m,https://doi.org/10.2298/sarh0302026m,https://pubmed.ncbi.nlm.nih.gov/14608858/,"[Volumetric analysis of gray matter, white matter and cerebrospinal fluid space in schizophrenia].",yes,http://www.doiserbia.nb.rs/ft.aspx?id=0370-81790302026M,http://www.doiserbia.nb.rs/ft.aspx?id=0370-81790302026M
40950815,10.29399,Noro psikiyatri arsivi,2025,10.29399/npa.28885,https://doi.org/10.29399/npa.28885,https://pubmed.ncbi.nlm.nih.gov/40950815/,Investigating The Brain Regions Related to Early Onset Psychosis: A Voxel-Based Morphometry Study Considering ,yes,https://www.noropsikiyatriarsivi.com/submission/MGSDosyalar/2025/Erkenbaski/28885-erkenbaski-en-75118.pdf,https://www.noropsikiyatriarsivi.com/submission/MGSDosyalar/2025/Erkenbaski/28885-erkenbaski-en-75118.pdf
21599563,10.3109,The world journal of biological psychiatry : t,2012,10.3109/15622975.2011.573809,https://doi.org/10.3109/15622975.2011.573809,https://pubmed.ncbi.nlm.nih.gov/21599563/,Latent toxoplasmosis reduces gray matter density in schizophrenia but not in controls: voxel-based-morphometry,no,,
23744689,10.3174,AJNR. American journal of neuroradiology,2014,10.3174/ajnr.A3583,https://doi.org/10.3174/ajnr.A3583,https://pubmed.ncbi.nlm.nih.gov/23744689/,"Patterns of brain structural changes in first-contact, antipsychotic drug-naive patients with schizophrenia.",yes,http://www.ajnr.org/content/ajnr/35/1/30.full.pdf,http://www.ajnr.org/content/ajnr/35/1/30.full.pdf
32570589,10.3233,Studies in health technology and informatics,2020,10.3233/SHTI200372,https://doi.org/10.3233/SHTI200372,https://pubmed.ncbi.nlm.nih.gov/32570589/,Classification of First-Episode Schizophrenia Using Wavelet Imaging Features.,yes,,https://doi.org/10.3233/shti200372
19806565,10.3760,Zhonghua yi xue yi chuan xue za zhi = Zhonghua,2009,10.3760/cma.j.issn.1003-9406.2009.05.002,https://doi.org/10.3760/cma.j.issn.1003-9406.2009.05.002,https://pubmed.ncbi.nlm.nih.gov/19806565/,[Brain structure abnormality as genetic endophenotype of schizophrenia].,no,,
28870884,10.5152,Diagnostic and interventional radiology (Ankar,2017,10.5152/dir.2017.16519,https://doi.org/10.5152/dir.2017.16519,https://pubmed.ncbi.nlm.nih.gov/28870884/,A combined VBM and DTI study of schizophrenia: bilateral decreased insula volume and cerebral white matter dis,yes,,https://www.ncbi.nlm.nih.gov/pmc/articles/5602366
10964865,APA,The American journal of psychiatry,2000,10.1176/appi.ajp.157.9.1475,https://doi.org/10.1176/appi.ajp.157.9.1475,https://pubmed.ncbi.nlm.nih.gov/10964865/,Brain abnormalities in early-onset schizophrenia spectrum disorder observed with statistical parametric mappin,no,,
12202269,APA,The American journal of psychiatry,2002,10.1176/appi.ajp.159.9.1497,https://doi.org/10.1176/appi.ajp.159.9.1497,https://pubmed.ncbi.nlm.nih.gov/12202269/,Cortical and subcortical gray matter abnormalities in schizophrenia determined through structural magnetic res,yes,,http://hdl.handle.net/21.11116/0000-0001-A3CB-2
14702264,APA,The American journal of psychiatry,2004,10.1176/appi.ajp.161.1.154,https://doi.org/10.1176/appi.ajp.161.1.154,https://pubmed.ncbi.nlm.nih.gov/14702264/,"Ventricular enlargement in schizophrenia related to volume reduction of the thalamus, striatum, and superior t",no,,
18981063,APA,The American journal of psychiatry,2009,10.1176/appi.ajp.2008.08020183,https://doi.org/10.1176/appi.ajp.2008.08020183,https://pubmed.ncbi.nlm.nih.gov/18981063/,Association of cerebral deficits with clinical symptoms in antipsychotic-naive first-episode schizophrenia: an,no,,
21362743,APA,The American journal of psychiatry,2011,10.1176/appi.ajp.2010.10081230,https://doi.org/10.1176/appi.ajp.2010.10081230,https://pubmed.ncbi.nlm.nih.gov/21362743/,Association of schizophrenia in 22q11.2 deletion syndrome and gray matter volumetric deficits in the superior ,yes,,https://www.ncbi.nlm.nih.gov/pmc/articles/3283577
32911995,APA,The American journal of psychiatry,2020,10.1176/appi.ajp.2020.19101099,https://doi.org/10.1176/appi.ajp.2020.19101099,https://pubmed.ncbi.nlm.nih.gov/32911995/,Thalamic Nuclei Volumes in Psychotic Disorders and in Youths With Psychosis Spectrum Symptoms.,yes,,https://www.ncbi.nlm.nih.gov/pmc/articles/7708443
25923856,APA,The Journal of neuropsychiatry and clinical ne,2015,10.1176/appi.neuropsych.14030049,https://doi.org/10.1176/appi.neuropsych.14030049,https://pubmed.ncbi.nlm.nih.gov/25923856/,Clinical correlates of superior temporal gyrus volume abnormalities in antipsychotic-naïve schizophrenia.,no,,
28393745,Cambridge,Acta neuropsychiatrica,2017,10.1017/neu.2017.9,https://doi.org/10.1017/neu.2017.9,https://pubmed.ncbi.nlm.nih.gov/28393745/,Correlation of reduced social communicational and interactional skills with regional grey matter volumes in sc,no,,
