pmid,type,source,full_text_path,in_included_set
10717898,unavailable,pubget,,True
11756013,unavailable,pubget,,True
12495527,unavailable,pubget,,True
12634489,unavailable,pubget,,True
15854790,unavailable,pubget,,True
15880108,unavailable,pubget,,True
15997014,unavailable,pubget,,True
16039604,unavailable,pubget,,True
16125458,unavailable,pubget,,True
16180622,unavailable,pubget,,True
16249098,unavailable,pubget,,True
16249100,unavailable,pubget,,True
16388969,unavailable,pubget,,True
16624961,unavailable,pubget,,True
16938092,unavailable,pubget,,True
17079679,unavailable,pubget,,True
18180761,unavailable,pubget,,True
18345992,unavailable,pubget,,True
18452757,unavailable,pubget,,True
18544183,unavailable,pubget,,True
18580874,unavailable,pubget,,True
18587392,unavailable,pubget,,True
18606038,unavailable,pubget,,True
18817740,unavailable,pubget,,True
19101126,unavailable,pubget,,True
19142768,unavailable,pubget,,True
19171889,unavailable,pubget,,True
19188539,unavailable,pubget,,True
19230621,unavailable,pubget,,True
19246323,unavailable,pubget,,True
19398537,unavailable,pubget,,True
19478067,unavailable,pubget,,True
19486944,unavailable,pubget,,True
19589502,unavailable,pubget,,True
19596037,unavailable,pubget,,True
19755202,unavailable,pubget,,True
19783103,unavailable,pubget,,True
19945471,unavailable,pubget,,True
19959343,unavailable,pubget,,True
19969089,unavailable,pubget,,True
20007241,unavailable,pubget,,True
20045475,unavailable,pubget,,True
20112261,unavailable,pubget,,True
20123031,unavailable,pubget,,True
20123913,unavailable,pubget,,True
20127871,unavailable,pubget,,True
20141305,unavailable,pubget,,True
20141309,unavailable,pubget,,True
20390600,unavailable,pubget,,True
20537612,unavailable,pubget,,True
20569645,unavailable,pubget,,True
20674090,unavailable,pubget,,True
20677866,unavailable,pubget,,True
20832448,unavailable,pubget,,True
20869375,unavailable,pubget,,True
20923694,unavailable,pubget,,True
20934190,unavailable,pubget,,True
21071182,unavailable,pubget,,True
21106812,unavailable,pubget,,True
21138751,unavailable,pubget,,True
21246665,unavailable,pubget,,True
21296865,unavailable,pubget,,True
21354262,unavailable,pubget,,True
21432689,unavailable,pubget,,True
21464361,unavailable,pubget,,True
21516545,unavailable,pubget,,True
