id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9
11050021-11050021_analysis_0	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_1	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_2	0	1	0	0	0	0	0	0	0
11050021-11050021_analysis_3	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_4	0	2	0	0	0	0	0	0	0
14568477-14568477_analysis_0	0	2	0	0	0	0	0	0	0
14568477-14568477_analysis_1	0	1	0	0	0	0	0	0	0
14568477-14568477_analysis_2	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_3	0	2	0	0	0	0	0	0	0
14980212-14980212_analysis_0	0	5	0	0	0	0	0	0	0
14980212-14980212_analysis_1	0	5	0	0	0	0	0	0	0
14980212-14980212_analysis_2	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_3	0	8	0	0	0	0	0	0	0
15006683-15006683_analysis_0	1	3	1	0	0	0	0	0	0
15312815-15312815_analysis_0	0	4	6	0	0	0	0	0	0
15312815-15312815_analysis_1	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_0	0	4	0	0	0	0	0	0	1
15488424-15488424_analysis_1	0	4	2	0	0	0	0	0	0
15488424-15488424_analysis_2	2	1	1	0	0	0	0	0	0
15488424-15488424_analysis_3	0	2	1	0	0	0	0	0	0
15528090-15528090_analysis_0	0	4	0	0	0	0	0	0	0
15528097-15528097_analysis_0	0	1	2	0	0	0	0	0	0
15707614-15707614_analysis_0	0	11	0	0	0	0	0	0	0
15808992-15808992_analysis_0	0	2	0	0	0	0	0	0	0
15808992-15808992_analysis_1	1	2	2	0	0	0	0	0	0
15862225-15862225_analysis_0	1	4	2	0	0	0	0	0	0
15862225-15862225_analysis_1	0	1	1	0	0	0	0	0	0
15862225-15862225_analysis_2	0	1	3	0	0	0	0	0	0
15862225-15862225_analysis_3	1	2	1	0	0	0	0	0	0
16023041-16023041_analysis_0	0	7	1	0	0	0	0	0	0
16035037-16035037_analysis_0	1	3	1	0	0	0	0	0	0
16035037-16035037_analysis_1	0	4	0	0	0	0	0	0	0
