id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18
18486489-18486489_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_6	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_10	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_12	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_0	2	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_0	3	1	3	2	1	0	2	0	0	1	0	0	0	0	0	0	0	0
19630891-19630891_analysis_1	5	1	2	3	1	1	2	1	0	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_2	4	1	4	2	1	1	3	0	1	0	0	0	0	0	1	0	0	0
19630891-19630891_analysis_3	4	0	2	1	1	1	2	0	0	1	0	0	0	0	1	0	0	0
19630891-19630891_analysis_4	4	1	3	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
19630891-19630891_analysis_5	3	1	2	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_6	4	1	3	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_7	3	1	3	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0
19733672-19733672_analysis_5	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
20045478-20045478_analysis_0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
20045478-20045478_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21600991-21600991_analysis_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
24294841-24294841_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_1	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24726338-24726338_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_4	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24825504-24825504_analysis_0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24825504-24825504_analysis_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26365506-26365506_analysis_0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
26481048-26481048_analysis_2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
27039141-27039141_analysis_2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27039141-27039141_analysis_3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_analysis_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
27477020-27477020_analysis_0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_analysis_4	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
27622781-27622781_analysis_5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_3	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
28477977-28477977_analysis_4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28477977-28477977_analysis_7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
28504911-28504911_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_analysis_4	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_analysis_0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
30077577-30077577_analysis_0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31598216-31598216_analysis_6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
