pmid,analysis_index,analysis_id,analysis_name,analysis_description,table_id,coordinate_count,coordinate_spaces,coordinates_json,invalid_point_count,dementia_all__include,dementia_all__confidence,dementia_all__reasoning,dementia_all__inclusion_criteria_applied,dementia_all__exclusion_criteria_applied,dementia_decreasing_activity__include,dementia_decreasing_activity__confidence,dementia_decreasing_activity__reasoning,dementia_decreasing_activity__inclusion_criteria_applied,dementia_decreasing_activity__exclusion_criteria_applied,structural__include,structural__confidence,structural__reasoning,structural__inclusion_criteria_applied,structural__exclusion_criteria_applied,functional__include,functional__confidence,functional__reasoning,functional__inclusion_criteria_applied,functional__exclusion_criteria_applied
14527604,0,14527604_analysis_0,"Conjunction (c1, c2, c3)",,TABLE2,8,MNI,"[[0.0, 56.0, 0.0], [-2.0, 36.0, 20.0], [0.0, 18.0, -16.0], [-14.0, 60.0, 22.0], [-22.0, 24.0, 46.0], [-46.0, 18.0, 30.0], [-64.0, -20.0, -22.0], [-10.0, 10.0, 2.0]]",0,False,,"GLOBAL_I1 (whole-brain voxelwise) appears satisfied, but GLOBAL_I2 is not satisfied: the study reports frontotemporal dementia (FTD) generally and does not explicitly state the target group is behavioral-variant FTD (bvFTD) compared directly to healthy controls without pooling. Therefore the required bvFTD-vs-control inclusion criterion (GLOBAL_I2) is missing.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 (whole-brain voxelwise) appears satisfied, but GLOBAL_I2 (explicit bvFTD vs healthy controls comparison) is not met in the provided study-level description (FTD is reported but not specified as bvFTD). Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 (whole-brain voxelwise) appears satisfied, but GLOBAL_I2 (explicit bvFTD vs healthy controls comparison) is not met; the study reports FTD generally rather than a specified bvFTD group. Therefore the required global inclusion criterion GLOBAL_I2 is missing.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 (whole-brain voxelwise) appears satisfied and the study uses FDG-PET (a functional modality), but GLOBAL_I2 (explicit bvFTD vs healthy controls comparison) is not satisfied because the sample is described as FTD without specification of bvFTD. Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[]
14527604,1,14527604_analysis_1,Interaction (c1 versus c2 and c3),,TABLE2,1,MNI,"[[-6.0, 28.0, -12.0]]",0,False,,"Although GLOBAL_I1 (whole-brain voxelwise) appears satisfied, GLOBAL_I2 (explicit bvFTD vs healthy controls comparison) is not met in the provided information (study reports FTD but does not specify bvFTD). Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 seems met, but GLOBAL_I2 (target must be bvFTD compared to controls specifically) is not satisfied by the study description (FTD broadly reported). Therefore inclusion fails due to missing GLOBAL_I2.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 appears satisfied, but GLOBAL_I2 (explicit bvFTD vs healthy controls) is not met in the study description. Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 (whole-brain) appears satisfied and the analysis likely uses FDG-PET, but GLOBAL_I2 (explicit bvFTD vs healthy controls) is not satisfied by the provided information (FTD not specified as bvFTD). Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[]
14527604,2,14527604_analysis_2,Interaction (c2 versus c1 and c3),,TABLE2,0,,[],0,False,,"GLOBAL_I1 (whole-brain) appears satisfied, but GLOBAL_I2 (must be explicit bvFTD vs healthy controls) is not met in the provided study description (FTD is reported without specifying bvFTD). Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 seems satisfied, but GLOBAL_I2 (explicit bvFTD vs healthy controls) is not met by the information given; the study describes FTD generally, not specifically bvFTD. Therefore inclusion fails due to missing GLOBAL_I2.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 appears satisfied, however GLOBAL_I2 (explicit bvFTD vs healthy controls) is not satisfied in the provided description. Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 (whole-brain) appears to be met and FDG-PET is the modality reported, but GLOBAL_I2 (explicit bvFTD vs healthy controls) is not satisfied (study reports FTD broadly). Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[]
14527604,3,14527604_analysis_3,Interaction (c3 versus c1 and c2),,TABLE2,1,MNI,"[[58.0, 8.0, -12.0]]",0,False,,"GLOBAL_I1 (whole-brain) appears satisfied, but GLOBAL_I2 (explicit bvFTD vs healthy controls comparison) is not met in the study description (FTD is reported without specifying bvFTD). Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 seems met, but GLOBAL_I2 (must be bvFTD compared to healthy controls specifically) is not satisfied by the provided information (FTD broadly reported). Therefore inclusion fails due to missing GLOBAL_I2.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 appears satisfied, yet GLOBAL_I2 (explicit bvFTD vs healthy controls) is not met in the provided study information. Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[],False,,"GLOBAL_I1 (whole-brain) appears satisfied and FDG-PET modality is reported, but GLOBAL_I2 (explicit bvFTD vs healthy controls comparison) is not satisfied because the study reports FTD generally rather than specifying bvFTD. Missing GLOBAL_I2 prevents inclusion.","[""GLOBAL_I1""]",[]
15585344,0,15585344_analysis_0,Atrophic regions in frontotemporal dementia,,TBL2,19,None,"[[-2.0, 44.0, -10.0], [0.0, 26.0, -10.0], [-38.0, 30.0, 2.0], [-32.0, 22.0, 10.0], [4.0, 6.0, -6.0], [-52.0, 8.0, 18.0], [18.0, -10.0, -14.0], [-62.0, -28.0, -24.0], [8.0, 18.0, -18.0], [-4.0, 50.0, 24.0], [-18.0, -10.0, -14.0], [38.0, 22.0, 8.0], [14.0, 20.0, -2.0], [-4.0, 32.0, 18.0], [-8.0, 14.0, 38.0], [18.0, -6.0, -22.0], [10.0, 22.0, 36.0], [8.0, 34.0, 26.0], [-4.0, 46.0, 24.0]]",0,True,,Global criteria met (whole-brain voxelwise VBM comparing FTD patients to healthy controls). Local inclusion met: uses Voxel-Based Morphometry (VBM).,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""DEMENTIA_ALL_I1""]",[],True,,Global criteria met (whole-brain VBM comparing FTD patients to healthy controls). Local inclusion met: reports decreases (gray matter atrophy; Control > FTD) and uses VBM.,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""DEMENTIA_DECREASING_ACTIVITY_I1"", ""DEMENTIA_DECREASING_ACTIVITY_I2""]",[],True,,"Global criteria met (whole-brain voxelwise analysis comparing FTD to controls). Local inclusion met: uses Voxel-Based Morphometry (VBM), a structural modality.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""STRUCTURAL_I1""]",[],False,,"Excluded because it does not meet FUNCTIONAL_I1: analysis uses VBM (structural MRI), not fMRI or FDG-PET.",[],[]
15668960,0,15668960_analysis_0,vs controls (p < 0.001),Apathetic subjects,88,11,None,"[[-16.0, 64.0, -4.0], [-16.0, 64.0, -4.0], [16.0, 64.0, 0.0], [-2.0, 42.0, -24.0], [4.0, 40.0, -24.0], [-52.0, 16.0, 20.0], [-42.0, 12.0, 0.0], [58.0, 20.0, 24.0], [44.0, 6.0, 2.0], [-2.0, -16.0, 4.0], [12.0, -22.0, 6.0]]",0,True,,Analysis is a whole-brain voxelwise FDG-PET comparison of the apathetic bvFTD subgroup to healthy controls (meets global criteria) and uses FDG-PET as an accepted modality.,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""DEMENTIA_ALL_I1""]",[],True,,"Whole-brain FDG-PET contrast vs controls shows decreases in metabolism for the apathetic bvFTD subgroup (meets global criteria and modality), satisfying decrease and modality criteria.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""DEMENTIA_DECREASING_ACTIVITY_I1"", ""DEMENTIA_DECREASING_ACTIVITY_I2""]",[],False,,Excluded because the analysis uses FDG-PET (functional/metabolic) rather than VBM; missing local inclusion STRUCTURAL_I1.,[],[],True,,Whole-brain FDG-PET comparison vs controls meets the global criteria and uses FDG-PET (functional modality).,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""FUNCTIONAL_I1""]",[]
15668960,1,15668960_analysis_1,vs disinhibited (p < 0.01),Apathetic subjects,88,8,None,"[[-42.0, 12.0, 26.0], [-46.0, 20.0, 18.0], [42.0, 34.0, 2.0], [38.0, 28.0, 24.0], [-24.0, -12.0, 68.0], [44.0, 6.0, 10.0], [0.0, 26.0, 58.0], [8.0, 40.0, 40.0]]",0,False,,Excluded because the analysis compares the apathetic bvFTD subgroup to the disinhibited bvFTD subgroup rather than to healthy controls; missing global inclusion GLOBAL_I2.,[],[],False,,Excluded because the analysis is a bvFTD subgroup vs bvFTD subgroup contrast (apathetic vs disinhibited) rather than bvFTD vs healthy controls; missing global inclusion GLOBAL_I2.,[],[],False,,Excluded because the analysis does not compare a bvFTD group to healthy controls (comparison is between bvFTD subgroups); missing global inclusion GLOBAL_I2.,[],[],False,,Excluded because the analysis compares bvFTD subgroups rather than bvFTD to healthy controls; missing global inclusion GLOBAL_I2.,[],[]
15668960,2,15668960_analysis_2,vs controls (p < 0.001),Disinhibited subjects,88,12,None,"[[-10.0, 12.0, -24.0], [12.0, 24.0, -28.0], [-8.0, 38.0, 18.0], [8.0, 34.0, 20.0], [-46.0, 6.0, 0.0], [-4.0, -18.0, 8.0], [10.0, -20.0, 6.0], [-48.0, -18.0, -36.0], [48.0, -16.0, -36.0], [-24.0, -12.0, -30.0], [20.0, -8.0, -30.0], [46.0, 8.0, -2.0]]",0,True,,Analysis is a whole-brain voxelwise FDG-PET comparison of the disinhibited bvFTD subgroup to healthy controls (meets global criteria) and uses FDG-PET as an accepted modality.,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""DEMENTIA_ALL_I1""]",[],True,,"Whole-brain FDG-PET contrast vs controls shows decreases in metabolism for the disinhibited bvFTD subgroup (meets global criteria and modality), satisfying decrease and modality criteria.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""DEMENTIA_DECREASING_ACTIVITY_I1"", ""DEMENTIA_DECREASING_ACTIVITY_I2""]",[],False,,Excluded because the analysis uses FDG-PET (functional/metabolic) rather than VBM; missing local inclusion STRUCTURAL_I1.,[],[],True,,Whole-brain FDG-PET comparison vs controls meets the global criteria and uses FDG-PET (functional modality).,"[""GLOBAL_I1"", ""GLOBAL_I2"", ""FUNCTIONAL_I1""]",[]
15668960,3,15668960_analysis_3,vs apathetic (p < 0.01),Disinhibited subjects,88,7,None,"[[-18.0, 12.0, -20.0], [11.0, 12.0, -18.0], [36.0, -12.0, -18.0], [-22.0, -28.0, -28.0], [50.0, -30.0, -28.0], [-12.0, 26.0, 26.0], [14.0, 32.0, 22.0]]",0,False,,Excluded because the analysis compares the disinhibited bvFTD subgroup to the apathetic bvFTD subgroup rather than to healthy controls; missing global inclusion GLOBAL_I2.,[],[],False,,Excluded because the analysis is a bvFTD subgroup vs bvFTD subgroup contrast (disinhibited vs apathetic) rather than bvFTD vs healthy controls; missing global inclusion GLOBAL_I2.,[],[],False,,Excluded because the analysis does not compare a bvFTD group to healthy controls (comparison is between bvFTD subgroups); missing global inclusion GLOBAL_I2.,[],[],False,,Excluded because the analysis compares bvFTD subgroups rather than bvFTD to healthy controls; missing global inclusion GLOBAL_I2.,[],[]
18268196,0,18268196_analysis_0,"Regions of Gray Matter Loss in Very Mild, Mild, and Moderate to Severe bvFTD",,77,105,None,"[[2.0, 36.0, 14.0], [4.0, 38.0, 20.0], [2.0, 28.0, 18.0], [-2.0, 36.0, 12.0], [-2.0, 38.0, 16.0], [-2.0, 32.0, 16.0], [2.0, 44.0, 20.0], [2.0, 44.0, 30.0], [2.0, 44.0, 28.0], [-2.0, 48.0, 22.0], [-2.0, 46.0, 28.0], [-2.0, 46.0, 24.0], [2.0, 53.0, -4.0], [-2.0, 58.0, 2.0], [1.0, 53.0, -3.0], [-2.0, 54.0, -4.0], [-2.0, 54.0, -2.0], [-2.0, 54.0, -4.0], [2.0, 8.0, -4.0], [4.0, 8.0, -8.0], [4.0, 8.0, -6.0], [-4.0, 12.0, -6.0], [-4.0, 8.0, -6.0], [-4.0, 10.0, -6.0], [42.0, 17.0, -10.0], [36.0, 18.0, -8.0], [42.0, 16.0, -12.0], [-39.0, 17.0, -13.0], [-38.0, 20.0, -10.0], [-39.0, 17.0, -13.0], [39.0, 23.0, 5.0], [35.0, 18.0, 5.0], [35.0, 16.0, 7.0], [-34.0, 24.0, 4.0], [-32.0, 22.0, 4.0], [-36.0, 24.0, 4.0], [33.0, 36.0, -13.0], [34.0, 36.0, -13.0], [42.0, 16.0, -12.0], [-29.0, 38.0, -13.0], [-29.0, 38.0, -14.0], [-30.0, 38.0, -15.0], [44.0, -10.0, -4.0], [-40.0, -12.0, -2.0], [28.0, 61.0, -15.0], [24.0, 61.0, -13.0], [33.0, 63.0, -6.0], [-31.0, 61.0, -2.0], [-29.0, 61.0, -2.0], [-27.0, 61.0, -3.0], [30.0, 52.0, 18.0], [38.0, 52.0, 6.0], [36.0, 44.0, 28.0], [-42.0, 52.0, 9.0], [-42.0, 53.0, 7.0], [-45.0, 53.0, 4.0], [38.0, 14.0, 33.0], [38.0, 15.0, 33.0], [38.0, 13.0, 34.0], [-44.0, 13.0, 28.0], [-44.0, 11.0, 27.0], [-43.0, 10.0, 25.0], [47.0, -6.0, 33.0], [47.0, -6.0, 34.0], [-53.0, -30.0, -8.0], [-54.0, -29.0, -4.0], [45.0, 36.0, 17.0], [45.0, 34.0, 20.0], [44.0, 34.0, 24.0], [-48.0, 36.0, 26.0], [-56.0, 28.0, 18.0], [26.0, 34.0, 40.0], [30.0, 26.0, 40.0], [-40.0, 25.0, 46.0], [-42.0, 28.0, 45.0], [0.0, 36.0, 38.0], [0.0, 36.0, 38.0], [-24.0, 19.0, 47.0], [-25.0, 21.0, 47.0], [48.0, -18.0, -4.0], [50.0, -18.0, -6.0], [-50.0, -51.0, 26.0], [48.0, -59.0, 44.0], [29.0, -13.0, -13.0], [30.0, -14.0, -10.0], [-30.0, -14.0, -10.0], [28.0, -14.0, -16.0], [27.0, -26.0, -10.0], [-28.0, -32.0, -6.0], [-7.0, 15.0, 6.0], [-8.0, 13.0, 9.0], [-10.0, 15.0, 7.0], [9.0, 13.0, 9.0], [9.0, 13.0, 9.0], [9.0, 12.0, 7.0], [30.0, 4.0, 8.0], [27.0, 6.0, 8.0], [29.0, 8.0, 10.0], [-22.0, 3.0, 6.0], [-22.0, 5.0, 4.0], [-22.0, 11.0, 4.0], [2.0, -8.0, 10.0], [2.0, -8.0, 8.0], [2.0, -8.0, 8.0], [48.0, -67.0, -48.0]]",0,True,,"The analysis reports whole-brain voxelwise gray matter loss using VBM and compares bvFTD groups to healthy controls, satisfying global whole-brain and group-comparison requirements; modality is VBM which meets the local inclusion for dementia_all.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""DEMENTIA_ALL_I1""]",[],True,,"The analysis reports decreases in gray matter volume for bvFTD (controls > bvFTD) using VBM, meeting global whole-brain and group-comparison criteria and the local criteria for decreases and acceptable modalities.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""DEMENTIA_DECREASING_ACTIVITY_I1"", ""DEMENTIA_DECREASING_ACTIVITY_I2""]",[],True,,"This is a VBM (voxel-based morphometry) whole-brain comparison of bvFTD to controls, meeting the global criteria and the structural local inclusion criterion.","[""GLOBAL_I1"", ""GLOBAL_I2"", ""STRUCTURAL_I1""]",[],False,,"Excluded because the modality is VBM (structural), not fMRI or FDG-PET; missing FUNCTIONAL_I1.",[],[]
